DENOM_CIA;CD_CVM
ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;22217
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;22497
MOURA DUBEUX ENGENHARIA S/A;21067
3R PETROLEUM ÓLEO E GÁS S.A.;25291
ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;26123
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;25046
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;25119
CM HOSPITALAR S.A;25682
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;25283
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;24961
HIDROVIAS DO BRASIL S.A.;22675
GRUPO SBF S.A.;24694
KORA SAÚDE PARTICIPAÇÕES S.A.;25879
MLOG S.A.;22586
SAFIRA HOLDING S.A.;27138
ZAMP SA;24317
MADERO INDÚSTRIA E COMÉRCIO S.A.;26379
MÉLIUZ S.A.;25232
GETNINJAS S.A.;25887
GRANBIO INVESTIMENTOS S.A.;25321
HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;25402
SANSUY S.A. INDUSTRIA DE PLASTICOS;12696
CBO HOLDING S.A.;23620
J. MACEDO S.A.;21156
CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.;27260
CIA FERRO LIGAS DA BAHIA - FERBASA;3069
CVLB BRASIL S.A;25542
METANOR SA METANOL DO NE;8745
SUZANO S.A.;13986
AREZZO INDÚSTRIA E COMÉRCIO S.A.;22349
DIRECIONAL ENGENHARIA S.A.;21350
LOCALIZA RENT A CAR S.A.;19739
HOSPITAL MATER DEI S.A.;25690
ALPHAVILLE S.A.;25275
XP INVESTIMENTOS S.A.;27111
ENJOEI S.A.;25259
CIA ENERGETICA DE MINAS GERAIS - CEMIG;2453
FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL;5983
BCO MERCANTIL DO BRASIL S.A.;1325
CIA FIACAO TECIDOS CEDRO CACHOEIRA;3077
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;19445
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;23574
BB SEGURIDADE PARTICIPAÇÕES S.A.;23159
TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A.;26760
DOTZ S.A.;25836
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.;25089
HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A.;25933
PRINER SERVIÇOS INDUSTRIAIS S.A.;24236
HOLDING DO ARAGUAIA S.A.;26565
CHINA THREE GORGES BRASIL ENERGIA S.A.;27103
EMCCAMP RESIDENCIAL S.A.;25909
