DENOM_CIA;CD_CVM
HOUSI S.A.;25313
CVLB BRASIL S.A;25542
ALPHAVILLE S.A.;25275
ENJOEI S.A.;25259
ALLIED TECNOLOGIA S.A.;25330
AGROGALAXY PARTICIPAÇÕES S.A.;25658
COMPASS GÁS E ENERGIA S.A.;25127
PATRIMAR ENGENHARIA S.A.;25305
TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.;25194
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.;25070
GRUPO MATEUS S.A.;25186
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;25062
MPM CORPÓREOS S.A.;25445
FOCUS ENERGIA HOLDING PARTICIPAÇÕES S.A.;25488
MOBLY S.A.;25461
RAÍZEN S.A.;25917
CS BRASIL PARTICIPAÇÕES E LOCAÇÕES S.A.;25739
EZ INC INCORPORAÇÕES COMERCIAIS S.A.;25380
VITTIA S.A.;25763
TRACK & FIELD CO S.A.;25208
ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.;24953
CESP - CIA ENERGETICA DE SAO PAULO;2577
CRUZEIRO DO SUL EDUCACIONAL S.A.;25526
FARMÁCIA E DROGARIA NISSEI S.A.;25429
INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;25453
CPFL TRANSMISSÃO S.A.;3204
PACAEMBU CONSTRUTORA S.A.;25143
LOJAS QUERO QUERO S.A.;25038
CARAMURU ALIMENTOS S.A.;26190
